Frog_Name,Frog_Number,Location Total Time,Location_A_Time,Location_B_Time,Location_C_Time,Location_A_Proportion,Location_B_Proportion,Location_C_Proportion,Corners_total_time ,No_time ,Yes_time ,No_proportion ,Yes_proportion 
Megan,2,0:40:00,0:19:50,0:11:23,0:08:47,0.4958,0.2846,0.2196,0:36:16,0:28:22,0:07:54,78.22%,21.78%
Randy,3,0:40:00,0:19:16,0:08:06,0:12:38,0.4817,0.2025,0.3158,0:38:36,0:34:52,0:03:44,90.33%,9.67%
Lemongrab,4,0:40:00,0:17:28,0:06:01,0:16:31,0.4367,0.1504,0.4129,0:39:40,0:27:26,0:12:14,69.16%,30.84%
Roberto,5,0:40:00,0:21:10,0:05:19,0:13:31,0.5292,0.1329,0.3379,0:38:12,0:35:02,0:03:10,91.71%,8.29%
MV3,7,0:40:00,0:00:00,0:00:00,0:40:00,0.0000,0.0000,1.0000,0:07:50,0:05:50,0:02:00,74.47%,25.53%
Priscilla,8,0:37:10,0:06:40,0:13:22,0:17:08,0.1794,0.3596,0.4610,0:36:44,0:33:24,0:03:20,90.93%,9.07%
Freckles,9,0:40:00,0:20:24,0:06:43,0:12:53,0.5100,0.1679,0.3221,0:39:18,0:33:28,0:05:50,85.16%,14.84%
Bob,10,0:39:51,0:18:59,0:03:27,0:17:25,0.4764,0.0866,0.4371,0:39:02,0:25:03,0:13:59,64.18%,35.82%
Sally Bowles,11,0:37:40,0:05:21,0:18:25,0:13:54,0.1420,0.4889,0.3690,0:40:00,0:34:54,0:05:06,87.25%,12.75%
BB,12,0:38:09,0:11:34,0:17:40,0:08:55,0.3032,0.4631,0.2337,0:37:42,0:33:29,0:04:13,88.82%,11.18%
Kevin,13,0:39:44,0:27:23,0:03:46,0:08:35,0.6892,0.0948,0.2160,0:40:00,33:32:00,6:28,83.83%,16.17%
