Frog_Name,Frog_Number,Location Total Time,Location_A_Time,Location_B_Time,Location_C_Time,Location_A_Proportion,Location_B_Proportion,Location_C_Proportion,Corners_total_time ,No_time ,Yes_time ,No_proportion ,Yes_proportion ,A_and_C total ,Hide_time,No_Hide_time,Hide_proportion,No_Hide_proportion
Chapo,1,0:40:00,0:12:03,0:06:03,0:21:54,30.13%,15.12%,54.75%,0:39:14,0:25:40,0:13:34,65.42%,34.58%,0:33:57,0:21:54,0:12:03,64.51%,35.49%
Megan,2,0:40:00,0:22:47,0:10:57,0:06:16,56.96%,27.38%,15.67%,0:32:10,0:23:46,0:08:24,73.89%,26.11%,0:29:03,0:22:47,0:06:16,78.43%,21.57%
Randy,3,0:40:00,0:16:54,0:07:51,0:15:15,42.25%,19.63%,38.12%,0:37:36,0:24:46,0:12:50,65.87%,34.13%,0:32:09,0:16:54,0:15:15,52.57%,47.43%
Lemongrab,4,0:39:50,0:22:00,0:04:15,0:13:35,55.23%,10.67%,34.10%,0:39:58,0:35:51,0:04:07,89.70%,10.30%,0:35:35,0:13:35,0:22:00,38.17%,61.83%
Roberto,5,0:40:00,0:08:10,0:03:06,0:28:44,20.42%,7.75%,71.83%,0:35:30,0:34:57,0:00:33,98.45%,1.55%,0:36:54,0:28:44,0:08:10,77.87%,22.13%
NGP4,6,0:38:09,0:22:43,0:09:38,0:05:48,59.55%,25.25%,15.20%,0:30:26,0:29:26,0:01:00,96.71%,3.29%,0:28:31,0:22:43,0:05:48,79.66%,20.34%
MV3,7,0:38:24,0:16:08,0:03:48,0:18:28,42.01%,9.90%,48.09%,0:38:22,0:32:30,0:05:52,84.71%,15.29%,0:34:36,0:16:08,0:18:28,46.63%,53.37%
Priscilla,8,0:40:00,0:07:42,0:15:44,0:16:34,19.25%,39.33%,41.42%,0:38:42,0:26:47,0:11:55,69.21%,30.79%,0:24:16,0:16:34,0:07:42,68.27%,31.73%
Freckles,9,0:38:12,0:17:26,0:10:07,0:10:39,45.64%,26.48%,27.88%,0:33:48,0:33:21,0:00:27,98.67%,1.33%,0:28:05,0:17:26,0:10:39,62.08%,37.92%
Bob,10,0:40:00,0:06:15,0:00:47,0:32:58,15.63%,1.96%,82.42%,0:39:45,0:30:09,0:09:36,75.85%,24.15%,0:39:13,0:32:58,0:06:15,84.06%,15.94%
Sally Bowles,11,0:39:46,0:10:01,0:18:05,0:11:40,25.19%,45.47%,29.34%,0:32:48,0:30:15,0:02:33,92.23%,7.77%,0:21:41,0:11:40,0:10:01,53.80%,46.20%
BB,12,0:40:00,0:15:13,0:11:13,0:13:34,38.04%,28.04%,33.92%,0:35:13,21:19,13:54,60.53%,39.47%,0:28:47,0:13:34,0:15:13,47.13%,52.87%
Kevin,13,0:40:00,0:16:58,0:03:17,0:19:45,42.42%,8.21%,49.38%,0:38:18,0:30:18,0:08:00,79.11%,20.89%,0:36:43,0:16:58,0:19:45,46.21%,53.79%
Dani,14,0:40:00,0:09:19,0:10:43,0:19:58,23.29%,26.79%,49.92%,0:37:32,0:29:30,0:08:02,78.60%,21.40%,0:29:17,0:19:58,0:09:19,68.18%,31.82%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
