Weight,Group
0.4958,Treatment 1 (A)
0.4817,Treatment 1 (A)
0.4367,Treatment 1 (A)
0.5292,Treatment 1 (A)
0.1794,Treatment 1 (A)
0.51,Treatment 1 (A)
0.4764,Treatment 1 (A)
0.142,Treatment 1 (A)
0.3032,Treatment 1 (A)
0.6892,Treatment 1 (A)
0.2846,Neutral (B)
0.2025,Neutral (B)
0.1504,Neutral (B)
0.1329,Neutral (B)
0.3596,Neutral (B)
0.1679,Neutral (B)
0.0866,Neutral (B)
0.4889,Neutral (B)
0.4631,Neutral (B)
0.0948,Neutral (B)
0.2196,Treatment 2 (C)
0.3158,Treatment 2 (C)
0.4129,Treatment 2 (C)
0.3379,Treatment 2 (C)
0.461,Treatment 2 (C)
0.3221,Treatment 2 (C)
0.4371,Treatment 2 (C)
0.369,Treatment 2 (C)
0.2337,Treatment 2 (C)
0.216,Treatment 2 (C)
