Frog_Name,Frog_Number,Location Total Time,Location_A_Time,Location_B_Time,Location_C_Time,Location_A_Proportion,Location_B_Proportion,Location_C_Proportion,Corners_total_time ,No_time ,Yes_time ,No_proportion ,Yes_proportion 
Megan,2,0:40:00,0:19:50,0:11:23,0:08:47,0.4958,0.2846,0.2196,0:36:16,0:28:22,0:07:54,0.7822,0.2178
Randy,3,0:40:00,0:19:16,0:08:06,0:12:38,0.4817,0.2025,0.3158,0:38:36,0:34:52,0:03:44,0.9033,0.0967
Lemongrab,4,0:40:00,0:17:28,0:06:01,0:16:31,0.4367,0.1504,0.4129,0:39:40,0:27:26,0:12:14,0.6916,0.3084
Roberto,5,0:40:00,0:21:10,0:05:19,0:13:31,0.5292,0.1329,0.3379,0:38:12,0:35:02,0:03:10,0.9171,0.0829
MV3,7,0:40:00,0:00:00,0:00:00,0:40:00,0,0,1,0:07:50,0:05:50,0:02:00,0.7447,0.2553
Priscilla,8,0:37:10,0:06:40,0:13:22,0:17:08,0.1794,0.3596,0.461,0:36:44,0:33:24,0:03:20,0.9093,0.0907
Freckles,9,0:40:00,0:20:24,0:06:43,0:12:53,0.51,0.1679,0.3221,0:39:18,0:33:28,0:05:50,0.8516,0.1484
Bob,10,0:39:51,0:18:59,0:03:27,0:17:25,0.4764,0.0866,0.4371,0:39:02,0:25:03,0:13:59,0.6418,0.3582
Sally Bowles,11,0:37:40,0:05:21,0:18:25,0:13:54,0.142,0.4889,0.369,0:40:00,0:34:54,0:05:06,0.8725,0.1275
BB,12,0:38:09,0:11:34,0:17:40,0:08:55,0.3032,0.4631,0.2337,0:37:42,0:33:29,0:04:13,0.8882,0.1118
Kevin,13,0:39:44,0:27:23,0:03:46,0:08:35,0.6892,0.0948,0.216,0:40:00,33:32:00,6:28,0.8383,0.1617
