Frog_Name,Frog_Number,Location Total Time,Location_A_Time,Location_B_Time,Location_C_Time,Location_A_Proportion,Location_B_Proportion,Location_C_Proportion,Corners_total_time ,No_time ,Yes_time ,No_proportion ,Yes_proportion ,A_and_C total ,Hide_time,No_Hide_time,Hide_proportion,No_Hide_proportion,Hide_Location,Hide_Proportion_ANOVA,No_Hide_Proportion_ANOVA
Chapo,1,0:40:00,0:12:03,0:06:03,0:21:54,0.30125,0.15125,0.5475,0:39:14,0:25:40,0:13:34,0.654205607,0.345794393,0:33:57,0:21:54,0:12:03,0.645066274,0.354933726,C,0.5475,0.30125
Megan,2,0:40:00,0:22:47,0:10:57,0:06:16,0.569583333,0.27375,0.156666667,0:32:10,0:23:46,0:08:24,0.738860104,0.261139896,0:29:03,0:22:47,0:06:16,0.784279977,0.215720023,C,0.15666667,0.56958333
Randy,3,0:40:00,0:16:54,0:07:51,0:15:15,0.4225,0.19625,0.38125,0:37:36,0:24:46,0:12:50,0.658687943,0.341312057,0:32:09,0:16:54,0:15:15,0.525660964,0.474339036,A,0.4225,0.38125
Lemongrab,4,0:39:50,0:22:00,0:04:15,0:13:35,0.552301255,0.106694561,0.341004184,0:39:58,0:35:51,0:04:07,0.896997498,0.103002502,0:35:35,0:13:35,0:22:00,0.381733021,0.618266979,C,0.34100418,0.55230126
Roberto,5,0:40:00,0:08:10,0:03:06,0:28:44,0.204166667,0.0775,0.718333333,0:35:30,0:34:57,0:00:33,0.984507042,0.015492958,0:36:54,0:28:44,0:08:10,0.77868112,0.22131888,C,0.71833333,0.20416667
NGP4,6,0:38:09,0:22:43,0:09:38,0:05:48,0.595456531,0.252512014,0.152031455,0:30:26,0:29:26,0:01:00,0.967141292,0.032858708,0:28:31,0:22:43,0:05:48,0.796610169,0.203389831,A,0.59545653,0.15203146
MV3,7,0:38:24,0:16:08,0:03:48,0:18:28,0.420138889,0.098958333,0.480902778,0:38:22,0:32:30,0:05:52,0.847089487,0.152910513,0:34:36,0:16:08,0:18:28,0.46628131,0.53371869,A,0.42013889,0.48090278
Priscilla,8,0:40:00,0:07:42,0:15:44,0:16:34,0.1925,0.393333333,0.414166667,0:38:42,0:26:47,0:11:55,0.692075797,0.307924203,0:24:16,0:16:34,0:07:42,0.682692308,0.317307692,C,0.41416667,0.1925
Freckles,9,0:38:12,0:17:26,0:10:07,0:10:39,0.456369983,0.264834206,0.278795812,0:33:48,0:33:21,0:00:27,0.986686391,0.013313609,0:28:05,0:17:26,0:10:39,0.620771513,0.379228487,A,0.45636998,0.27879581
Bob,10,0:40:00,0:06:15,0:00:47,0:32:58,0.15625,0.019583333,0.824166667,0:39:45,0:30:09,0:09:36,0.758490566,0.241509434,0:39:13,0:32:58,0:06:15,0.840628984,0.159371016,C,0.82416667,0.15625
Sally Bowles,11,0:39:46,0:10:01,0:18:05,0:11:40,0.251886002,0.45473596,0.293378039,0:32:48,0:30:15,0:02:33,0.922256098,0.077743902,0:21:41,0:11:40,0:10:01,0.538047656,0.461952344,C,0.29337804,0.251886
BB,12,0:40:00,0:15:13,0:11:13,0:13:34,0.380416667,0.280416667,0.339166667,0:35:13,21:19,13:54,0.605300521,0.394699479,0:28:47,0:13:34,0:15:13,0.47133758,0.52866242,C,0.33916667,0.38041667
Kevin,13,0:40:00,0:16:58,0:03:17,0:19:45,0.424166667,0.082083333,0.49375,0:38:18,0:30:18,0:08:00,0.791122715,0.208877285,0:36:43,0:16:58,0:19:45,0.46209714,0.53790286,A,0.42416667,0.49375
Dani,14,0:40:00,0:09:19,0:10:43,0:19:58,0.232916667,0.267916667,0.499166667,0:37:32,0:29:30,0:08:02,0.785968028,0.214031972,0:29:17,0:19:58,0:09:19,0.681844052,0.318155948,C,0.49916667,0.23291667
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, ,,,,,,
