Weight,Group
0.5475,Hide
0.156666667,Hide
0.4225,Hide
0.341004184,Hide
0.718333333,Hide
0.595456531,Hide
0.420138889,Hide
0.414166667,Hide
0.456369983,Hide
0.824166667,Hide
0.293378039,Hide
0.339166667,Hide
0.424166667,Hide
0.499166667,Hide
0.15125,Neutral (B)
0.27375,Neutral (B)
0.19625,Neutral (B)
0.106694561,Neutral (B)
0.0775,Neutral (B)
0.252512014,Neutral (B)
0.098958333,Neutral (B)
0.393333333,Neutral (B)
0.264834206,Neutral (B)
0.019583333,Neutral (B)
0.45473596,Neutral (B)
0.280416667,Neutral (B)
0.082083333,Neutral (B)
0.267916667,Neutral (B)
0.30125,No Hide
0.569583333,No Hide
0.38125,No Hide
0.552301255,No Hide
0.204166667,No Hide
0.152031455,No Hide
0.480902778,No Hide
0.1925,No Hide
0.278795812,No Hide
0.15625,No Hide
0.251886002,No Hide
0.380416667,No Hide
0.49375,No Hide
0.232916667,No Hide
