Weight,Group
0.654205607,Nocorners
0.738860104,Nocorners
0.658687943,Nocorners
0.896997498,Nocorners
0.984507042,Nocorners
0.967141292,Nocorners
0.847089487,Nocorners
0.692075797,Nocorners
0.986686391,Nocorners
0.758490566,Nocorners
0.922256098,Nocorners
0.605300521,Nocorners
0.791122715,Nocorners
0.785968028,Nocorners
0.345794393,Yescorners
0.261139896,Yescorners
0.341312057,Yescorners
0.103002502,Yescorners
0.015492958,Yescorners
0.032858708,Yescorners
0.152910513,Yescorners
0.307924203,Yescorners
0.013313609,Yescorners
0.241509434,Yescorners
0.077743902,Yescorners
0.394699479,Yescorners
0.208877285,Yescorners
0.214031972,Yescorners
