Weight,Group
0.354933726,Nohide
0.215720023,Nohide
0.474339036,Nohide
0.618266979,Nohide
0.22131888,Nohide
0.203389831,Nohide
0.53371869,Nohide
0.317307692,Nohide
0.379228487,Nohide
0.159371016,Nohide
0.461952344,Nohide
0.52866242,Nohide
0.53790286,Nohide
0.318155948,Nohide
0.645066274,Yeshide
0.784279977,Yeshide
0.525660964,Yeshide
0.381733021,Yeshide
0.77868112,Yeshide
0.796610169,Yeshide
0.46628131,Yeshide
0.682692308,Yeshide
0.620771513,Yeshide
0.840628984,Yeshide
0.538047656,Yeshide
0.47133758,Yeshide
0.46209714,Yeshide
0.681844052,Yeshide
