Weight,Location,Group,Frog_Number,Color_Name
0.07864633,Broth,E,1,chartreuse4
0.763584366,Neutral,E,1,grey66
0.157769304,Bd,E,1,darkviolet
0.181303116,Broth,E,2,chartreuse4
0.796033994,Neutral,E,2,grey66
0.02266289,Bd,E,2,darkviolet
0.133014354,Broth,E,3,chartreuse4
0.668899522,Neutral,E,3,grey66
0.198086124,Bd,E,3,darkviolet
0.401224263,Broth,E,4,chartreuse4
0.466332777,Neutral,E,4,grey66
0.13244296,Bd,E,4,darkviolet
0,Broth,E,5,chartreuse4
0.968,Neutral,E,5,grey66
0.032,Bd,E,5,darkviolet
0.150667514,Broth,C,7,chartreuse4
0.490146217,Neutral,C,7,grey66
0.359186268,Broth,C,7,chartreuse4
0.070792311,Broth,E,9,chartreuse4
0.902953586,Neutral,E,9,grey66
0.026254102,Bd,E,9,darkviolet
0.004446421,Broth,C,11,chartreuse4
0.926189418,Neutral,C,11,grey66
0.069364162,Broth,C,11,chartreuse4
0.307606264,Broth,E,12,chartreuse4
0.531879195,Neutral,E,12,grey66
0.160514541,Bd,E,12,darkviolet
0.239090909,Broth,E,14,chartreuse4
0.700454545,Neutral,E,14,grey66
0.060454545,Broth,E,14,darkviolet
