Weight,Location,Group,Frog_Number,Color_Name
0.153156997,Control,E,1,chartreuse4
0.683447099,Neutral,E,1,grey66
0.163395904,Chytrid,E,1,darkviolet
0.224398931,Control,E,2,chartreuse4
0.750667854,Neutral,E,2,grey66
0.024933215,Chytrid,E,2,darkviolet
0.127192982,Control,E,3,chartreuse4
0.613157895,Neutral,E,3,grey66
0.259649123,Chytrid,E,3,darkviolet
0.431381119,Control,E,4,chartreuse4
0.366258741,Neutral,E,4,grey66
0.20236014,Chytrid,E,4,darkviolet
0.005833333,Control,E,5,chartreuse4
0.9075,Neutral,E,5,grey66
0.086666667,Chytrid,E,5,darkviolet
0.18375,Control,C,7,chartreuse4
0.32125,Neutral,C,7,grey66
0.495,Control,C,7,chartreuse4
0.072014585,Control,E,9,chartreuse4
0.877848678,Neutral,E,9,grey66
0.050136737,Chytrid,E,9,darkviolet
0.019006479,Control,C,11,chartreuse4
0.899784017,Neutral,C,11,grey66
0.081209503,Control,C,11,chartreuse4
0.386266094,Control,E,12,chartreuse4
0.408154506,Neutral,E,12,grey66
0.205579399,Chytrid,E,12,darkviolet
0.282875264,Control,E,14,chartreuse4
0.651585624,Neutral,E,14,grey66
0.065539112,Chytrid,E,14,darkviolet
