Frog_Name,Frog_Number,Group (C or E),Location Total Time,Control Location,Experiment Location,Control Total Time,Experiment Total Time,Neutral Total Time,Control Proportion,Experiment Proportion,Neutral Proportion
Chapo,1,E,0:29:43,C,A,0:04:26,0:05:43,0:19:34,0.149186764,0.192372406,0.65844083
Megan,2,E,0:33:41,C,A,0:07:44,0:01:03,0:24:54,0.229589312,0.031172687,0.739238001
Randy,3,E,0:22:44,A,C,0:05:11,0:09:05,0:08:28,0.228005865,0.399560117,0.372434018
Lemongrab,4,E,0:27:25,A,C,0:14:24,0:04:12,0:08:49,0.525227964,0.153191489,0.321580547
Roberto,5,E,0:36:53,A,C,0:00:00,0:01:40,0:35:13,0,0.045187528,0.954812472
MV3,7,C,0:24:57,NA,NA,0:03:59,0:09:40,0:11:18,0.159652639,0.38744155,0.452905812
Freckles,9,E,0:32:29,A,C,0:05:05,0:01:30,0:25:54,0.156490508,0.046177527,0.797331965
Sally Bowles,11,C,0:36:35,NA,NA,0:01:06,0:06:21,0:29:08,0.030068337,0.17357631,0.796355353
BB,12,E,0:26:51,A,C,0:09:33,0:05:10,0:12:08,0.355679702,0.192427064,0.451893234
Dani,14,E,0:34:03,C,A,0:08:30,0:03:02,0:22:31,0.249632893,0.089084679,0.661282428
,,,,,,,,,,,
