Frog_Number,Location,Mean,SD,Color_Name
1,Broth,0.3671527,0.1361598,dodgerblue2
1,Bd,0.6328473,0.1361598,red
2,Broth,0.5729169,0.2948958,dodgerblue2
2,Bd,0.4270831,0.2948958,red
3,Broth,0.5682128,0.1580417,dodgerblue2
3,Bd,0.4317872,0.1580417,red
4,Broth,0.5979032,0.1335312,dodgerblue2
4,Bd,0.4020968,0.1335312,red
7,Broth,0.4388395,0.1614289,dodgerblue2
7,Broth,0.5611605,0.1614289,dodgerblue2
9,Broth,0.5579916,0.1836948,dodgerblue2
9,Bd,0.4666799,0.1836948,red
10,Broth,0.7191287,0.08792279,dodgerblue2
10,Broth,0.2808713,0.08792279,dodgerblue2
11,Broth,0.3363671,0.2850809,dodgerblue2
11,Broth,0.6636329,0.2850809,dodgerblue2
12,Broth,0.4607258,0.2302544,dodgerblue2
12,Bd,0.5392742,0.2302544,red
13,Broth,0.7307323,0.04237694,dodgerblue2
13,Bd,0.2692677,0.04237694,red
