Weight,Location,Group,Frog_Number,Color_Name
0.483827493,Broth,E,1,chartreuse4
0.516172507,Bd,E,1,darkviolet
0.9,Broth,E,2,chartreuse4
0.1,Bd,E,2,darkviolet
0.328798186,Broth,E,3,chartreuse4
0.671201814,Bd,E,3,darkviolet
0.680689655,Broth,E,4,chartreuse4
0.319310345,Bd,E,4,darkviolet
0.063063063,Broth,E,5,chartreuse4
0.936936937,Bd,E,5,darkviolet
0.270718232,Broth,C,7,chartreuse4
0.729281768,Broth,C,7,chartreuse4
0.589552239,Broth,E,9,chartreuse4
0.410447761,Bd,E,9,darkviolet
0.189655172,Broth,C,11,chartreuse4
0.810344828,Broth,C,11,chartreuse4
0.652646846,Broth,E,12,chartreuse4
0.347353154,Bd,E,12,darkviolet
0.811893204,Broth,E,14,chartreuse4
0.188106796,Broth,E,14,darkviolet
