Weight,Location,Group
0.149186764,Control,E
0.229589312,Control,E
0.228005865,Control,E
0.525227964,Control,E
0,Control,E
0.156490508,Control,E
0.355679702,Control,E
0.249632893,Control,E
0.65844083,Neutral,E
0.739238001,Neutral,E
0.372434018,Neutral,E
0.321580547,Neutral,E
0.954812472,Neutral,E
0.797331965,Neutral,E
0.451893234,Neutral,E
0.661282428,Neutral,E
0.192372406,Chytrid,E
0.031172687,Chytrid,E
0.399560117,Chytrid,E
0.153191489,Chytrid,E
0.045187528,Chytrid,E
0.046177527,Chytrid,E
0.192427064,Chytrid,E
0.089084679,Chytrid,E
