Weight,Location,Group,Frog_Number,Color_Name,Trial_Number
0.483827493,Broth,E,1,chartreuse4,1
0.516172507,Bd,E,1,darkviolet,1
0.9,Broth,E,2,chartreuse4,1
0.1,Bd,E,2,darkviolet,1
0.328798186,Broth,E,3,chartreuse4,1
0.671201814,Bd,E,3,darkviolet,1
0.680689655,Broth,E,4,chartreuse4,1
0.319310345,Bd,E,4,darkviolet,1
0.063063063,Broth,E,5,chartreuse4,1
0.936936937,Bd,E,5,darkviolet,1
0.270718232,Broth,C,7,chartreuse4,1
0.729281768,Broth,C,7,chartreuse4,1
0.589552239,Broth,E,9,chartreuse4,1
0.410447761,Bd,E,9,darkviolet,1
0.189655172,Broth,C,11,chartreuse4,1
0.810344828,Broth,C,11,chartreuse4,1
0.652646846,Broth,E,12,chartreuse4,1
0.347353154,Bd,E,12,darkviolet,1
0.811893204,Broth,E,14,chartreuse4,1
0.188106796,Broth,E,14,darkviolet,1
0.228253305,Broth,E,1,chartreuse4,2
0.771746695,Bd,E,1,darkviolet,2
0.255639098,Broth,E,2,chartreuse4,2
0.744360902,Bd,E,2,darkviolet,2
0.623076923,Broth,E,3,chartreuse4,2
0.376923077,Bd,E,3,darkviolet,2
0.620938628,Broth,E,4,chartreuse4,2
0.379061372,Bd,E,4,darkviolet,2
0.532069971,Broth,E,5,chartreuse4,2
0.467930029,Bd,E,5,darkviolet,2
0.2464,Broth,E,6,chartreuse4,2
0.7536,Bd,E,6,darkviolet,2
0.556306306,Broth,C,7,chartreuse4,2
0.443693694,Broth,C,7,chartreuse4,2
0.468223087,Broth,E,9,chartreuse4,2
0.531776913,Bd,E,9,darkviolet,2
0.624472574,Broth,C,10,chartreuse4,2
0.375527426,Broth,C,10,chartreuse4,2
0.305637982,Broth,C,11,chartreuse4,2
0.694362018,Broth,C,11,chartreuse4,2
0.468334636,Broth,E,12,chartreuse4,2
0.531665364,Bd,E,12,darkviolet,2
0.595317726,Broth,E,13,chartreuse4,2
0.440356745,Bd,E,13,darkviolet,2
0.167585447,Broth,E,14,chartreuse4,2
0.832414553,Bd,E,14,darkviolet,2
0.567099567,Broth,E,1,chartreuse4,3
0.432900433,Bd,E,1,darkviolet,3
0.49537037,Broth,E,2,chartreuse4,3
0.50462963,Bd,E,2,darkviolet,3
0.713304721,Broth,E,3,chartreuse4,3
0.286695279,Bd,E,3,darkviolet,3
0.581027668,Broth,E,4,chartreuse4,3
0.418972332,Bd,E,4,darkviolet,3
0.575342466,Broth,E,5,chartreuse4,3
0.424657534,Bd,E,5,darkviolet,3
0.745487365,Broth,E,6,chartreuse4,3
0.254512635,Bd,E,6,darkviolet,3
0.429158111,Broth,C,7,chartreuse4,3
0.570841889,Broth,C,7,chartreuse4,3
0.491578947,Broth,E,9,chartreuse4,3
0.508421053,Bd,E,9,darkviolet,3
0.728971963,Broth,C,10,chartreuse4,3
0.271028037,Broth,C,10,chartreuse4,3
0.591269841,Broth,C,11,chartreuse4,3
0.408730159,Broth,C,11,chartreuse4,3
0.155963303,Broth,E,12,chartreuse4,3
0.844036697,Bd,E,12,darkviolet,3
0.672358591,Broth,E,13,chartreuse4,3
0.327641409,Bd,E,13,darkviolet,3
0.911220715,Broth,E,14,chartreuse4,3
0.088779285,Bd,E,14,darkviolet,3
