_ExportData-2,,,
Moscow,ID,83844-1136,83844
Houston,TX,77058-3607,77058
Bozeman,MT,59715,59715
Bloomington,IN,47405-1701,47405
Tempe,AZ,85282-2248,85282
New York,NY,10024-6328,10024
Fayette,MO,65248-1104,65248
Gainesville,FL,32611-0210,32611
Santa Fe,NM,87501,87501
Loudonville,NY,12211,12211
Fort Bragg,CA,95437,95437
Santa Ana,CA,92705-2758,92705
Albuquerque,NM,87106-4522,87106
Irvine,CA,92697-2525,92697
PRINCE GEORGE,BC,V2N 4Z9,V2N 4Z9
Washington,DC,20009,20009
San Marcos,CA,92096-0001,92096
Missoula,MT,59812-0003,59812
Minneapolis,MN,55415,55415
Fort Collins,CO,80524,80524
Deer Park,WA,99006-8444,99006
Blacksburg,VA,24061,24061
Chicopee,MA,1020,1020
Lawrence,KS,66047,66047
Fort Collins,CO,80521,80521
Alexandria,VA,22301-2423,22301
Ottawa,ON,K1N6N5,K1N6N5
Boise,ID,83706,83706
Gainesville,FL,32601,32601
McLean,VA,22101,22101
Burnaby,BC,V5A 1S6,V5A 1S6
Sandpoint,ID,83864,83864
Canmore,AB,T1W 1P6,T1W 1P6
Tempe,AZ,85281-5641,85281
Clinton,WA,98236,98236
Seattle,WA,98037,98037
Montréal,QC,H3G 0C7,H3G 0C7
Laramie,WY,82070,82070
Puerto Ayora,Galapagos,200350,200350
Front Royal,VA,22630-5869,22630
Halifax,NS,B3J 1B9,B3J 1B9
Ithaca,NY,14850,14850
Damascus,MD,20872,20872
Frostburg,MD,21532,21532
Lincoln,Lincolnshire,LN1 1HS,LN1 1HS
Eugene,OR,97402-0158,97402
Orlando,FL,32826-6504,32826
Goleta,CA,93117-3076,93117
Santiago,Metropolitana,8380447,8380447
Syracuse,NY,13210,13210
Washington,DC,20009-5354,20009
Ann Arbor,MI,48104,48104
Easthampton,MA,1027,1027
Morelia,Michoacán,58190,58190
Kyoto,Japan,606-8203,606-8203
Oxford,Oxfordshire,OX4 1EN,OX4 1EN
Trois-Rivières,QC,G8Y 3R7,G8Y 3R7
Washington,DC,20024,20024
Gainesville,FL,32607-2702,32607
Ashland,OR,97520-3906,97520
Victoria,BC,V8Z 3J9,V8Z 3J9
Haymarket,VA,20169,20169
Washington Depot,CT,06794-1514,06794
Gainesville,FL,32607-2677,32607
Tübingen,Baden-Württembe,72076,72076
Pakkred,nonthaburi,11120,11120
Queretaro, ,76230,76230
Edmonton,AB,T6C 3E7,T6C 3E7
Grand Rapids,MN,55744-2119,55744
Santa Barbara,CA,93106-5131,93106
Tucson,AZ,85710,85710
Encinitas,CA,92024,92024
Seattle,WA,98103,98103
Washington,DC,20010-2730,20010
Wallingford,PA,19086,19086
New York,NY,10010-7304,10010
Arlington,VA,22203-1637,22203
College Station,TX,77843-2258,77843
College Park,MD,20742-0001,20742
Oxford,OH,45056-2703,45056
Sidney,MT,59270,59270
New Orleans,LA,70148-0001,70148
Prescott,AZ,86303,86303
Logan,UT,84322-5305,86303
Cape May Court House,NJ,08210-1324,86303
Washington,DC,20005,20005
San Francisco,CA,94121,94121
Alexandria,VA,22314,22314
"Morelia, Michoacan", ,58190,58190
Athens,GA,30606,30606
San Diego,CA,92101,92101
Washington,DC,20912,20912
Raleigh,NC,27607,27607
Baltimore,MD,21202,21202
Peterborough,ON,K9J 5B4,K9J 5B4
Lisle,IL,60532,60532
Crookston,MN,56716-5000,56716
Dayton,MD,21036-1233,
Miami,FL,33155,33155
Damariscotta,ME,4543,4543
Kathmandu, , , 
Arlington,VA,22203-1101,22203
Tempe,AZ,85287,85287
Bellingham,WA,98225,98225
Silver Spring,MD,20910,20910
East Lansing,MI,48823,48823
Fairfield, ,4103,4103
San Ramon,CA,94583,94583
Cottekill,NY,12419,12419
Denver,CO,80225,80225
Berkeley,CA,94720,94720
Kearney,NE,68849,68849
Ann Arbor,MI,48103-5716,48103
Hangzhou, ,310058,310058
Tampa,FL,33647,33647
Fort Wayne,IN,46808,46808
London,ON,N6E 3N9,N6E 3N9
Athens,GA,30601,30601
Lakeville,CT,06039-2130,06039
Ventura,CA,93001,93001
Washington,DC,20015,20015
Edmonton,AB,T6G 2H1,T6G 2H1
Davis,CA,95616,95616
Richmond,BC,V6Y3V9,V6Y3V9
Athens,GA,30602,30602
Aiea,HI,96701,96701
Madison,WI,53705,53705
Auburn,AL,36849,36849
Toronto,ON,M1C1A4,M1C1A4
Davisburg,MI,48350,48350
Montreal,QC,H4G1J1,H4G1J1
Center Conway,NH,03813-4429,03813
Nontaburi,Thailand,11120,11120
Silver Spring,MD,20910-5457,20910
Savannah,GA,31402-3146,31402
Coralville,IA,52241,52241
La Paz,B.C.S.,23096,23096
Saint Louis,MO,63118-1309,63118
Lansing,MI,48912-3005,48912
Asunción,Paraguay,1719,1719
Okemos,MI,48864-3238,48864
Culpeper,VA,22701-3247,22701
Rancho Santa Fe,CA,92067,92067
Noblesville,IN,46062-9140,46062
Boulder,CO,80303-2530,80303
Tampa,FL,33611-2914,33611
Tempe,AZ,85287-4501,85287
Anakie,VIC,3213,3213
Vancouver,WA,98686-9600,98686
Lindsay,ON,K9V 3Y5,K9V 3Y5
Boulder,CO,80302-4710,80302
Lake Worth Beach,FL,33460-2520,33460
Williamsburg,VA,23188-8036,23188
Chicago,IL,60614-7968,60614
Laramie,WY,82071-2000,82071
Longmont,CO,80503-6438,80503
Mayer,AZ,86333-2005,86333
Anaheim,CA,92805-4327,92805
São Paulo,SP,01440-040,01440
Montréal,QC,H4B 1R6,H4B 1R6
Tarzana,CA,91356-3220,91356
Moshi, , ,
Greenfield Center,NY,12833-1502,12833
Soldotna,AK,99669,99669
Seattle,WA,98195-2100,98195
Anchorage,AK,99516,99516
Seattle,WA,98195-0001,98195
La Grande,OR,97850-3307,97850
San Andrés Cholula, ,72810,72810
Capulhuac, ,52710,52710
Corvallis,OR,97331-8542,97331
Madison,WI,53704-5753,53704
Edinboro,PA,16444-0001,16444
Asheville,NC,28804-9606,28804
Washington,PA,15301,15302
Victoria,BC,V8Z 7X8,V8Z 7X9
Missoula,MT,59801,59802
Grande Cache,AB,T0E0Y0,T0E0Y1
New Hope,PA,18938-9315,18938
Washington,DC,20002,20003
Burnaby,BC,V5A 1S6,V5A 1S7
Boston,MA,02215-1406,02215
Honolulu,HI,96822,96822
West Chester,PA,19380,19380
Aracruz - ES, ,29194-581,29194
Davidson,NC,28035,28035
Scarsdale,NY,10583,10583
Bozeman,MT,59715,59715
Norman,OK,73019,73019
Statesboro,GA,30460,30460
Suffield,CT,6078,6078
Longwood,FL,32779,32779
Reno,NV,89503,89503
Ventura,CA,93003,93003
Madison,WI,53704,53704
