MONTH,a1,ax,r,a1.pvalue,ax.pvalue,r.pvalue,a1.est,ax.est,r.est,a1.se,ax.se,r.se
1,-4.08142147634452e-05,0.00446413125983692,1.47092977454629,0.0330595402536331,0.0332648843708959,0,0,0,0,0,0,0
2,0.00834806351550672,1.01223326438176,1.25345233452214,0.032979117139374,2.14841049465504e-09,2.68201069269169e-90,0,0,0,0,0,0
3,0.000759113122188406,0.0993938515453376,1.29630280710476,0.783544576949313,0.352076420383643,2.76210706525569e-129,0,0,0,0,0,0
4,-3.78514043136832,1.01051924580909,-0.457579027230099,7.23958272335264e-14,3.00547017292056e-16,0.00044283951502557,0,0,0,0,0,0
5,-0.172070039729,-8.10827637180111,3.68753486002854,1.56897648899984e-33,0,2.13333366261619e-165,0,0,0,0,0,0
6,-0.824577910420346,-27.5103403302934,5.85590510567525,7.53887009098326e-151,0,7.14766963424184e-180,0,0,0,0,0,0
7,-0.873210718467624,-31.7394568930723,6.15576624466589,5.18210723676676e-188,0,1.0617825832206e-218,0,0,0,0,0,0
8,-0.711245477613526,-31.0587449772615,5.73969249419245,1.06318162206835e-239,0,6.77794789044169e-271,0,0,0,0,0,0
9,-0.803494000763278,-25.0870914653175,4.88048188116271,2.36052246201724e-201,0,4.03758739272381e-297,0,0,0,0,0,0
10,-0.499971996228178,-7.92308123353244,3.14617845257657,1.27032500417081e-25,0,2.03874608570177e-132,0,0,0,0,0,0
11,-0.0164307385058545,-1.98515717497859,2.11961529885709,1.50423762918083e-07,5.9959926233648e-25,0,0,0,0,0,0,0
12,-2.9618795956869e-05,0.000628142887591992,1.64743346544961,0.909317183633592,0.909349458098754,0,0,0,0,0,0,0
