MONTH,a,b,a.pvalue,b.pvalue,a.est,b.est,a.se,b.se
1,1.28226327314044,0.0279018041983485,1.52535485691795e-220,3.01813995278669e-13,1.28413038932285,0.028232544987172,0.0433898582217431,0.0048598168570493
2,1.23576506940605,0.0313631962283181,3.37105128186513e-312,1.04848721415221e-17,1.23331909973989,0.0311298209646029,0.0292932167322104,0.00409472941828113
3,1.10097718237034,0.0382210582990628,0,3.38440744405087e-36,1.10354048006964,0.0381005773854341,0.0293009673335685,0.00376829725113309
4,1.27027065805862,0.0477822448533133,9.36436814164937e-119,2.00451644020941e-28,1.27460847810943,0.0477140416763285,0.0606757282295207,0.00495209988395255
5,1.75559728295077,0.0571120364901512,5.90927360468286e-83,1.96032795066803e-57,1.75196248038469,0.0573970711870748,0.10027494445615,0.00389069914956295
6,2.40012511705703,0.0389879569494831,5.73933460219383e-21,1.56175784205411e-10,2.45678287605198,0.0380481362737411,0.309974986492108,0.0074439834399904
7,2.00520793994148,0.0454236766810281,2.13609794522028e-11,4.61200237637362e-09,2.03975327780131,0.0452776742209339,0.351406267588886,0.00895050401126059
8,4.79878809411214,-0.0142283629247632,4.28439616300132e-10,0.105324252624691,4.82479627017553,-0.013505285657018,0.954327538119169,0.011267271081682
9,1.82104682052802,0.0369579271725943,3.27765619002131e-23,2.66252283249681e-09,1.82579148810347,0.0373046007273347,0.201809050465878,0.00679327812369584
10,1.67958426770238,0.0392426198889467,1.56341071003206e-84,7.95697059897657e-20,1.67643890482152,0.0391066893195082,0.0962620811731491,0.0047087877215799
11,1.67409516551394,0.0533639284365477,9.95652995452305e-262,3.16354356956759e-64,1.66700465290869,0.053459546910141,0.0484102844802855,0.00345672619844943
12,1.64140713221797,0.0346169684919419,6.78348964779242e-315,5.5088245034728e-19,1.63142736797679,0.0348526972211792,0.0466448970240305,0.00556790990009673
